"station_code","fullstationname","datetimestamp","monitoringprogram","rep","WTEM_N","F_WTEM_N","SALT_N","F_SALT_N","DO_N_","F_DO_N_","DO_N","F_DO_N","PH_N","F_PH_N","SECCHI","F_SECCHI","TDEP_N","F_TDEP_N"
"gtmpcnut","gtmpcnut2.7","2025-02-26 00:45:00","2","7","16.899999999999999",NA,"12.48",NA,NA,NA,"6.74",NA,"7.56",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.8","2025-02-26 03:15:00","2","8","16.670000000000002",NA,"10.5",NA,NA,NA,"6.42",NA,"7.46",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.9","2025-02-26 05:45:00","2","9","16.03",NA,"8.9700000000000006",NA,NA,NA,"6.27",NA,"7.4",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.10","2025-02-26 08:15:00","2","10","15.7",NA,"18.739999999999998",NA,NA,NA,"6.76",NA,"7.71",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.11","2025-02-26 10:45:00","2","11","15.86",NA,"24.36",NA,NA,NA,"7.13",NA,"7.94",NA,NA,NA,NA,NA
"gtmpinut","gtmpinut1.1","2025-03-26 11:18:00","1","1","20.361000000000001",NA,"24.01",NA,"6.96",NA,NA,NA,"7.74",NA,"0.9",NA,"13.8",NA
"gtmpinut","gtmpinut1.2","2025-03-26 11:19:00","1","2","20.361000000000001",NA,"24.01",NA,"6.96",NA,NA,NA,"7.74",NA,"0.9",NA,"13.8",NA
"gtmssnut","gtmssnut1.1","2025-03-26 09:34:00","1","1","19.202000000000002",NA,"34.85",NA,"7.04",NA,NA,NA,"8.0399999999999991",NA,"0.9",NA,"26.1",NA
"gtmssnut","gtmssnut1.2","2025-03-26 09:36:00","1","2","19.202000000000002",NA,"34.85",NA,"7.04",NA,NA,NA,"8.0399999999999991",NA,"0.9",NA,"26.1",NA
"gtmfmnut","gtmfmnut1.1","2025-03-26 08:21:00","1","1","20.504000000000001",NA,"34.869999999999997",NA,"6.58",NA,NA,NA,"7.95",NA,"1.2",NA,"11.7",NA
"gtmfmnut","gtmfmnut1.2","2025-03-26 08:22:00","1","2","20.504000000000001",NA,"34.869999999999997",NA,"6.58",NA,NA,NA,"7.95",NA,"1.2",NA,"11.7",NA
"gtmpcnut","gtmpcnut1.1","2025-03-26 10:46:00","1","1","21.1",NA,"19.440000000000001",NA,"5.72",NA,NA,NA,"7.5",NA,"0.5",NA,"2.1",NA
"gtmpcnut","gtmpcnut1.2","2025-03-26 10:48:00","1","2","21.1",NA,"19.440000000000001",NA,"5.72",NA,NA,NA,"7.5",NA,"0.5",NA,"2.1",NA
"gtmpcnut","gtmpcnut2.1","2025-03-25 09:30:00","2","1","20.684000000000001",NA,"12.91",NA,NA,NA,"1.85",NA,"7.56",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.2","2025-03-25 12:00:00","2","2","20.945",NA,"12.34",NA,NA,NA,"2.5",NA,"7.53",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.3","2025-03-25 14:30:00","2","3","21.059000000000001",NA,"11.22",NA,NA,NA,"0.9",NA,"7.41",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.4","2025-03-25 17:00:00","2","4","21.206",NA,"9.26",NA,NA,NA,"3.24",NA,"7.4",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.5","2025-03-25 19:30:00","2","5","23.31",NA,"8.92",NA,NA,NA,"5.23",NA,"7.64",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.6","2025-03-25 22:00:00","2","6","21.969000000000001",NA,"11.74",NA,NA,NA,"1.77",NA,"7.55",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.7","2025-03-26 00:30:00","2","7","22.338999999999999",NA,"10.72",NA,NA,NA,"1.27",NA,"7.49",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.8","2025-03-26 03:00:00","2","8","22.295000000000002",NA,"9.8699999999999992",NA,NA,NA,"0.57999999999999996",NA,"7.42",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.9","2025-03-26 05:30:00","2","9","22.73",NA,"8.26",NA,NA,NA,"2.63",NA,"7.46",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.10","2025-03-26 08:00:00","2","10","21.341999999999999",NA,"7.79",NA,NA,NA,"3.73",NA,"7.56",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.11","2025-03-26 10:30:00","2","11","21.184999999999999",NA,"12.44",NA,NA,NA,"2.27",NA,"7.6",NA,NA,NA,NA,NA
"gtmpinut","gtmpinut1.1","2025-04-09 11:15:00","1","1","23.7",NA,"32.31",NA,"6.4",NA,NA,NA,"7.8",NA,"0.9",NA,"14.3",NA
"gtmpinut","gtmpinut1.2","2025-04-09 11:17:00","1","2","23.7",NA,"32.31",NA,"6.4",NA,NA,NA,"7.8",NA,"0.9",NA,"14.3",NA
"gtmssnut","gtmssnut1.1","2025-04-09 09:27:00","1","1","22.2",NA,"36.58",NA,"6.84",NA,NA,NA,"8.0399999999999991",NA,"0.9",NA,"22.9",NA
"gtmssnut","gtmssnut1.2","2025-04-09 09:29:00","1","2","22.2",NA,"36.58",NA,"6.84",NA,NA,NA,"8.0399999999999991",NA,"0.9",NA,"22.9",NA
"gtmfmnut","gtmfmnut1.1","2025-04-09 08:12:00","1","1","22.3",NA,"36.340000000000003",NA,"6.49",NA,NA,NA,"8.0399999999999991",NA,"0.8",NA,"12.2",NA
"gtmfmnut","gtmfmnut1.2","2025-04-09 08:14:00","1","2","22.3",NA,"36.340000000000003",NA,"6.49",NA,NA,NA,"8.0399999999999991",NA,"0.8",NA,"12.2",NA
"gtmpcnut","gtmpcnut1.1","2025-04-09 11:18:00","1","1","21.7",NA,"20.43",NA,"6.33",NA,NA,NA,"7.65",NA,"0.65",NA,"2.1",NA
"gtmpcnut","gtmpcnut1.2","2025-04-09 11:20:00","1","2","21.7",NA,"20.43",NA,"6.33",NA,NA,NA,"7.65",NA,"0.65",NA,"2.1",NA
"gtmpcnut","gtmpcnut2.1","2025-04-23 09:30:00","2","1","25.236000000000001",NA,"23.98",NA,NA,NA,"4.75",NA,"7.73",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.2","2025-04-23 12:00:00","2","2","25.628",NA,"23.25",NA,NA,NA,"4.4800000000000004",NA,"7.69",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.3","2025-04-23 14:30:00","2","3","26.390999999999998",NA,"20.260000000000002",NA,NA,NA,"4.66",NA,"7.63",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.4","2025-04-23 17:00:00","2","4","29.43",NA,"15.48",NA,NA,NA,"7.35",NA,"7.84",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.5","2025-04-23 19:30:00","2","5","28.288",NA,"22.37",NA,NA,NA,"6.8",NA,"7.87",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.6","2025-04-23 22:00:00","2","6","27.954999999999998",NA,"23.27",NA,NA,NA,"6.17",NA,"7.82",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.7","2025-04-24 00:30:00","2","7","27.739000000000001",NA,"22.38",NA,NA,NA,"5.75",NA,"7.77",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.8","2025-04-24 03:00:00","2","8","27.463000000000001",NA,"18.850000000000001",NA,NA,NA,"4.72",NA,"7.64",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.9","2025-04-24 05:30:00","2","9","26.161000000000001",NA,"16.28",NA,NA,NA,"5.72",NA,"7.68",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.10","2025-04-24 08:00:00","2","10","25.597999999999999",NA,"23.94",NA,NA,NA,"4.97",NA,"7.73",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.11","2025-04-24 10:30:00","2","11","25.617000000000001",NA,"24.27",NA,NA,NA,"5.0599999999999996",NA,"7.74",NA,NA,NA,NA,NA
"gtmpinut","gtmpinut1.1","2025-05-28 13:30:00","1","1","29.02",NA,"35.22",NA,"4.49",NA,NA,NA,"7.41",NA,"0.75",NA,"12.9",NA
