"station_code","fullstationname","datetimestamp","monitoringprogram","rep","F_TDP","PO4F","F_PO4F","TP","F_TP","TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","TURB_N","F_TURB_N","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","DOC","F_DOC","IRR0_N","F_IRR0_N","IRR1_N","F_IRR1_N","Kd_N","F_Kd_N","adjustedtimestamp"
"gtmpcnut","gtmpcnut2.1","2026-01-06 09:30:00","2","1","","0.030","Q","0.053","","0.039","0.008","","0.012","","0.35","I","0.30","I","4.9","Q","4.3","Q","1.1","UQ","7","I","","","","","","","","","6.6","","","","","","","","2026-01-06 09:30:00"
"gtmpcnut","gtmpcnut2.10","2026-01-07 08:00:00","2","10","","0.031","","0.055","","","0.011","","0.010","","0.39","I","","","5.1","","4.7","","1.1","U","8","I","","","","","","","179.0","Q","5.8","","","","","","","","2026-01-07 08:00:00"
"gtmpcnut","gtmpcnut2.11","2026-01-07 10:30:00","2","11","","0.030","","0.058","","","0.004","I","0.01","I","0.41","","","","9.8","","9.8","","0.91","U","5","I","","","","","","","109.0","Q","6.3","","","","","","","","2026-01-07 10:30:00"
"gtmpcnut","gtmpcnut2.2","2026-01-06 12:00:00","2","2","","0.024","Q","0.053","","","0.007","","0.004","I","0.38","I","","","4.0","","4.7","","0.92","I","12","","","","","","","","","","5.7","","","","","","","","2026-01-06 12:00:00"
"gtmpcnut","gtmpcnut2.3","2026-01-06 14:30:00","2","3","","0.021","","0.041","","","0.009","","0.003","U","0.39","I","","","2.6","","3.0","","1.1","U","18","","","","","","","","10.0","UQ","4.6","","","","","","","","2026-01-06 14:30:00"
"gtmpcnut","gtmpcnut2.4","2026-01-06 17:00:00","2","4","","0.024","","0.053","","","0.005","I","0.005","I","0.36","I","","","4.4","","5.1","","1.1","U","18","","","","","","","","58.0","AQ","6.1","","","","","","","","2026-01-06 17:00:00"
"gtmpcnut","gtmpcnut2.5","2026-01-06 19:30:00","2","5","","0.028","","0.053","","","0.004","I","0.008","I","0.38","I","","","4.7","","5.2","","1.3","U","9","I","","","","","","","96.0","Q","5.9","","","","","","","","2026-01-06 19:30:00"
"gtmpcnut","gtmpcnut2.6","2026-01-06 22:00:00","2","6","","0.028","","0.052","","","0.004","I","0.008","I","0.39","I","","","6.0","","6.8","","1.1","U","8","I","","","","","","","228.0","Q","6.4","","","","","","","","2026-01-06 22:00:00"
"gtmpcnut","gtmpcnut2.8","2026-01-07 03:00:00","2","8","","0.026","","0.048","","","0.006","","0.007","I","0.37","I","","","2.8","","3.3","","1.1","U","8","I","","","","","","","63.0","Q","5.1","","","","","","","","2026-01-07 03:00:00"
"gtmpcnut","gtmpcnut2.9","2026-01-07 05:30:00","2","9","","0.029","","0.053","","","0.008","","0.006","I","0.39","I","","","3.7","","3.3","","0.91","U","5","I","","","","","","","108.0","Q","6.0","","","","","","","","2026-01-07 05:30:00"
