"station_code","fullstationname","datetimestamp","monitoringprogram","rep","F_Record","PO4F","F_PO4F","TP","F_TP","TDP","F_TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","DOC","F_DOC","TOTALK","F_TOTALK","adjustedtimestamp"
"gtmpcnut","gtmpcnut2.8","2025-01-28 03:00:00","2","8","","0.019","","0.086","","","","0.005","I","0.004","U","0.85","","","","28","","30","","1.4","U","9","I","","","","","63.0","Q","22","","","","2025-01-28 03:00:00"
"gtmpcnut","gtmpcnut2.2","2025-01-27 12:00:00","2","2","","0.015","Q","0.065","","","","0.005","","0.008","U","0.69","","","","17","","19","","2.4","I","13","","","","","","","","18","","","","2025-01-27 12:00:00"
"gtmfmnut","gtmfmnut1.2","2025-02-12 10:23:00","1","2","","0.015","","0.036","","0.022","","0.011","","0.005","I","0.20","I","0.18","I","2.5","I","2.9","","1.0","U","9","I","2.5","U","11","BQ","30.0","Q","3.6","I","","","2025-02-12 10:23:00"
"gtmfmnut","gtmfmnut1.1","2025-02-12 10:21:00","1","1","","0.015","","0.037","","0.022","","0.014","","0.004","U","0.23","I","0.22","I","2.5","I","3.0","","1.0","U","10","","2.5","U","16","BQ","10.0","Q","3.4","I","","","2025-02-12 10:21:00"
"gtmpcnut","gtmpcnut1.2","2025-02-12 12:43:00","1","2","","0.028","","0.068","","0.039","","0.015","","0.010","","0.54","","0.33","I","7.8","","8.7","","1.7","U","20","","63","","140","JQ","61.0","Q","9.4","","","","2025-02-12 12:43:00"
"gtmpcnut","gtmpcnut1.1","2025-02-12 12:41:00","1","1","","0.028","","0.069","","0.040","","0.021","","0.01","I","0.51","","0.33","I","7.5","","8.6","","1.7","U","19","","63","","120","JQ","145.0","Q","9.2","","","","2025-02-12 12:41:00"
"gtmpinut","gtmpinut1.2","2025-02-12 12:57:00","1","2","","0.024","","0.075","","0.036","","0.006","","0.004","U","0.45","J","0.41","","12","","15","","4.0","I","28","","35","","39","JBQ","10.0","Q","8.1","","","","2025-02-12 12:57:00"
"gtmpinut","gtmpinut1.1","2025-02-12 12:55:00","1","1","","0.024","","0.077","","0.036","","0.007","","0.004","U","0.40","","0.45","","12","","14","","3.8","I","30","","34","A","17","JBQ","20.0","Q","8.2","","","","2025-02-12 12:55:00"
"gtmssnut","gtmssnut1.1","2025-02-12 11:33:00","1","1","","0.011","","0.037","","0.017","","0.008","","0.010","","0.25","I","0.16","U","4.2","","5.1","","1.4","U","12","","2.5","U","31","BQ","10.0","Q","3.4","I","","","2025-02-12 11:33:00"
"gtmssnut","gtmssnut1.2","2025-02-12 11:35:00","1","2","","0.012","","0.038","","0.019","","0.008","","0.014","","0.23","I","0.16","U","4.3","","5.1","","1.4","U","12","","2.5","U","8","JBQ","10.0","Q","3.0","I","","","2025-02-12 11:35:00"
"gtmpcnut","gtmpcnut2.1","2025-02-25 09:45:00","2","1","","0.026","Q","0.053","","0.032","","0.022","","0.013","","0.39","I","0.29","I","3.4","IQ","4.5","Q","1.7","UQ","16","","","","","","","","6.7","","","","2025-02-25 09:45:00"
"gtmpcnut","gtmpcnut2.10","2025-02-26 08:15:00","2","10","","0.035","","0.072","","","","0.040","","0.010","","0.44","","","","3.1","","4.2","","1.6","I","19","","","","","","132.0","Q","9.2","","","","2025-02-26 08:15:00"
"gtmpcnut","gtmpcnut2.11","2025-02-26 10:45:00","2","11","","0.027","","0.055","","","","0.022","","0.010","","0.34","I","","","3.5","","4.5","","1.5","I","23","A","","","","","20.0","Q","6.7","","","","2025-02-26 10:45:00"
"gtmpcnut","gtmpcnut2.2","2025-02-25 12:15:00","2","2","","0.035","Q","0.077","","","","0.045","","0.012","","0.47","","","","3.9","I","5.4","","2.3","I","24","","","","","","","","8.7","","","","2025-02-25 12:15:00"
"gtmpcnut","gtmpcnut2.3","2025-02-25 14:45:00","2","3","","0.041","","0.072","","","","0.038","","0.090","","0.44","","","","3.8","","4.6","","1.2","I","12","","","","","","103.0","AQ","11","","","","2025-02-25 14:45:00"
"gtmpcnut","gtmpcnut2.4","2025-02-25 17:15:00","2","4","","0.041","","0.073","","","","0.046","","0.011","","0.46","","","","2.9","","3.6","","1.0","U","9","I","","","","","175.0","Q","12","","","","2025-02-25 17:15:00"
"gtmpcnut","gtmpcnut2.5","2025-02-25 19:45:00","2","5","","0.037","","0.075","","","","0.038","","0.010","","0.49","","","","3.0","","4.3","","1.9","I","14","","","","","","52.0","Q","9.8","","","","2025-02-25 19:45:00"
"gtmpcnut","gtmpcnut2.6","2025-02-25 22:15:00","2","6","","0.034","","0.070","","","","0.028","","0.009","I","0.44","","","","3.2","","4.4","","1.9","I","20","","","","","","52.0","Q","9.1","","","","2025-02-25 22:15:00"
"gtmpcnut","gtmpcnut2.7","2025-02-26 00:45:00","2","7","","0.041","","0.076","","","","0.050","","0.013","","0.49","","","","2.2","I","3.3","","1.6","I","12","","","","","","118.0","Q","11","","","","2025-02-26 00:45:00"
"gtmpcnut","gtmpcnut2.8","2025-02-26 03:15:00","2","8","","0.043","","0.074","","","","0.057","","0.012","","0.51","","","","1.8","I","2.3","","1.0","U","9","I","","","","","146.0","Q","12","","","","2025-02-26 03:15:00"
"gtmpcnut","gtmpcnut2.9","2025-02-26 05:45:00","2","9","","0.041","","0.072","","","","0.057","","0.012","","0.47","","","","1.9","I","2.4","","1.0","U","8","I","","","","","256.0","Q","13","","","","2025-02-26 05:45:00"
"gtmfmnut","gtmfmnut1.1","2025-03-26 08:21:00","1","1","","0.013","","0.037","","0.024","","0.025","","0.004","U","0.34","I","0.23","I","2.3","","3.0","","0.96","I","22","A","5.0","U","4","UQ","20.0","Q","3.6","I","","","2025-03-26 07:21:00"
"gtmfmnut","gtmfmnut1.2","2025-03-26 08:22:00","1","2","","0.013","","0.040","","0.024","","0.024","","0.004","U","0.29","I","0.27","I","2.3","","2.9","","0.89","I","21","","2.5","U","3","BQ","10.0","UQ","3.3","I","","","2025-03-26 07:22:00"
"gtmpcnut","gtmpcnut1.1","2025-03-26 10:46:00","1","1","","0.025","","0.083","","0.040","","0.006","","0.004","U","0.67","","0.49","","13","","16","","4.0","","27","","58","","17","BQ","10.0","UQ","10","","","","2025-03-26 09:46:00"
"gtmpcnut","gtmpcnut1.2","2025-03-26 10:48:00","1","2","","0.027","","0.082","","0.040","","0.006","","0.004","U","0.81","","0.35","I","13","","16","","3.4","","26","","63","","33","BQ","10.0","Q","10","","","","2025-03-26 09:48:00"
"gtmpinut","gtmpinut1.1","2025-03-26 11:18:00","1","1","","0.021","","0.066","","0.036","","0.009","","0.004","I","0.62","","0.47","","6.7","","9.1","","3.6","","28","","25","","3","BQ","10.0","UQ","8.5","","","","2025-03-26 10:18:00"
"gtmpinut","gtmpinut1.2","2025-03-26 11:19:00","1","2","","0.020","","0.067","","0.036","","0.008","","0.004","U","0.58","","0.49","","7.4","","9.8","","3.5","","26","","25","","3","UQ","10.0","UQ","8.4","","","","2025-03-26 10:19:00"
"gtmssnut","gtmssnut1.2","2025-03-26 09:36:00","1","2","","0.020","","0.049","","0.029","","0.037","","0.026","","0.39","I","0.20","I","4.0","A","5.0","A","1.5","I","21","","7.5","U","3","BQ","20.0","Q","3.5","I","","","2025-03-26 08:36:00"
"gtmssnut","gtmssnut1.1","2025-03-26 09:34:00","1","1","","0.019","","0.050","","0.029","","0.034","","0.026","","0.31","I","0.27","I","3.9","","5.4","","2.3","","22","","2.5","U","8","BQ","20.0","Q","3.7","I","","","2025-03-26 08:34:00"
"gtmpcnut","gtmpcnut2.1","2025-03-25 09:30:00","2","1","","0.027","Q","0.097","","0.039","","0.033","","0.004","U","0.45","","0.29","I","6.7","","8.3","","2.2","I","27","","","","","","","","9.4","","","","2025-03-25 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-03-26 08:00:00","2","10","","0.030","","0.079","","","","0.002","U","0.004","U","0.56","","","","12","","14","","2.7","I","22","","","","","","10.0","Q","11","","","","2025-03-26 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-03-26 10:30:00","2","11","","0.024","","0.073","","","","0.003","I","0.004","I","0.63","","","","15","","18","","4.0","","32","","","","","","10.0","Q","8.8","","","","2025-03-26 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-03-25 12:00:00","2","2","","0.028","Q","0.071","","","","0.044","","0.004","U","0.49","","","","6.8","","8.9","","3.1","I","27","","","","","","","","9.8","","","","2025-03-25 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-03-25 14:30:00","2","3","","0.031","Q","0.072","","","","0.054","","0.004","U","0.48","","","","6.5","","7.9","","2.0","I","29","","","","","","10.0","UQ","10","","","","2025-03-25 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-03-25 17:00:00","2","4","","0.030","","0.084","","","","0.008","","0.004","U","0.41","","","","8.6","","10","","2.5","I","26","","","","","","20.0","Q","14","","","","2025-03-25 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-03-25 19:30:00","2","5","","0.024","","0.098","","","","0.005","I","0.004","U","0.65","","","","11","","14","","4.5","","29","","","","","","10.0","Q","11","","","","2025-03-25 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-03-25 22:00:00","2","6","","0.023","","0.072","","","","0.004","I","0.004","U","0.41","","","","12","","14","","3.8","","35","","","","","","10.0","UQ","11","","","","2025-03-25 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-03-26 00:30:00","2","7","","0.025","","0.068","","","","0.016","","0.004","U","0.51","","","","12","","15","","4.4","","17","","","","","","10.0","UQ","10","","","","2025-03-25 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-03-26 03:00:00","2","8","","0.031","","0.074","","","","0.018","","0.004","U","0.54","","","","8.5","","11","","3.0","I","18","","","","","","10.0","Q","11","","","","2025-03-26 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-03-26 05:30:00","2","9","","0.033","","0.069","","","","0.010","","0.004","U","0.58","","","","12","","14","","2.6","I","16","","","","","","10.0","Q","12","","","","2025-03-26 04:30:00"
"gtmfmnut","gtmfmnut1.1","2025-04-09 08:12:00","1","1","","0.016","","0.048","","0.023","","0.030","","0.004","I","0.28","I","0.22","I","4.4","","5.6","","1.8","I","15","","2.5","U","6","BQ","10.0","UQ","2.6","I","","","2025-04-09 07:12:00"
"gtmfmnut","gtmfmnut1.2","2025-04-09 08:14:00","1","2","","0.015","","0.048","","0.023","","0.027","","0.004","I","0.33","I","0.16","I","4.5","","5.4","","1.2","I","16","","12","U","3","UQ","10.0","Q","2.6","I","","","2025-04-09 07:14:00"
"gtmpcnut","gtmpcnut1.1","2025-04-09 11:18:00","1","1","","0.028","","0.092","","0.045","","0.004","I","0.004","U","0.91","","0.51","","15","","18","","3.8","","36","","42","","19","BQ","10.0","Q","9.9","","","","2025-04-09 10:18:00"
"gtmpcnut","gtmpcnut1.2","2025-04-09 11:20:00","1","2","","0.029","","0.095","","0.044","","0.008","","0.004","U","0.82","","0.53","","16","","19","","4.3","","38","","42","","17","BQ","20.0","Q","8.6","","","","2025-04-09 10:20:00"
"gtmpinnut","gtmpinnut1.1","2025-04-09 11:15:00","1","1","","0.024","","0.063","","0.036","","0.01","","0.004","U","0.37","I","0.40","I","6.7","","8.6","","2.7","I","27","","7.7","A","3","UQ","10.0","Q","4.8","","","","2025-04-09 10:15:00"
