"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Level","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-12-01,"12:45","19.133","29.667","18.41","90.6","7.51","0.034","7.62","6.44","2.17","8.71","74.4","24.9"
2025-12-01,"13:00","19.158","29.028","17.98","90.6","7.53","0.013","7.61","5.87","2.07","8.32","75.56","25.29"
2025-12-01,"13:15","19.221","28.705","17.76","91.1","7.58","-0.005","7.6","5.83","2.17","8.71","75.71","25.34"
2025-12-01,"13:30","19.216","28.65","17.72","90.7","7.54","-0.024","7.6","5.99","2.08","8.36","75.84","25.38"
2025-12-01,"13:45","19.191","28.902","17.89","89.8","7.46","-0.04","7.59","6.35","1.96","7.88","75.32","25.21"
2025-12-01,"14:00","19.156","28.693","17.75","89.5","7.45","-0.056","7.59","6.26","1.97","7.91","75.97","25.43"
2025-12-01,"14:15","19.152","28.633","17.71","89","7.41","-0.07","7.58","5.92","1.97","7.91","76.51","25.61"
2025-12-01,"14:30","19.182","28.293","17.48","88.6","7.39","-0.077","7.57","10","1.77","7.09","76.16","25.49"
2025-12-01,"14:45","19.23","28.146","17.38","86.7","7.22","-0.08","7.56","5.03","1.77","7.11","75.61","25.31"
2025-12-01,"15:00","19.27","28.124","17.36","89.4","7.44","-0.068","7.58","5.33","1.93","7.75","76.71","25.68"
2025-12-01,"15:15","19.503","27.376","16.86","92.2","7.66","-0.053","7.59","5.68","2.32","9.31","77.46","25.93"
2025-12-01,"15:30","19.739","26.803","16.47","95.2","7.89","-0.035","7.61","5.26","3.25","13.09","77.72","26.02"
2025-12-01,"15:45","19.749","28.424","17.56","95.5","7.87","-0.014","7.63","6.62","2.45","9.86","75.22","25.18"
2025-12-01,"16:00","19.7","29.338","18.19","94.8","7.78","0.011","7.63","6.27","2.53","10.19","74.1","24.8"
2025-12-01,"16:15","19.781","30.541","19","97.5","7.96","0.037","7.68","6.28","3.03","12.19","71.46","23.92"
2025-12-01,"16:30","19.768","30.658","19.08","97.3","7.94","0.07","7.68","6.03","2.8","11.27","71.53","23.94"
2025-12-01,"16:45","19.777","30.312","18.85","97.6","7.98","0.101","7.69","6.09","2.89","11.64","71.28","23.86"
2025-12-01,"17:00","19.724","31.916","19.95","96.4","7.84","0.133","7.7","6.05","2.63","10.57","69.38","23.23"
2025-12-01,"17:15","19.647","33.34","20.93","95.2","7.7","0.16","7.7","6.21","2.3","9.25","67.05","22.45"
2025-12-01,"17:30","19.681","33.516","21.05","95.2","7.7","0.195","7.71","6.34","2.4","9.67","66.56","22.28"
2025-12-01,"17:45","19.711","33.787","21.24","96.3","7.77","0.225","7.73","6.36","2.44","9.8","66.17","22.15"
2025-12-01,"18:00","19.751","34.758","21.91","96.7","7.76","0.255","7.74","6.77","2.22","8.93","64.11","21.46"
2025-12-01,"18:15","19.877","36.592","23.19","97.7","7.77","0.281","7.77","7.05","2.07","8.34","60.37","20.21"
2025-12-01,"18:30","19.904","37.409","23.76","97.7","7.73","0.301","7.78","6.67","1.88","7.57","58.13","19.47"
2025-12-01,"18:45","19.979","38.393","24.46","98.2","7.74","0.318","7.8","8.37","1.91","7.67","55.73","18.66"
2025-12-01,"19:00","19.981","38.988","24.87","98.2","7.72","0.333","7.81","7.4","1.87","7.5","54.33","18.2"
2025-12-01,"19:15","20.006","39.609","25.31","98.4","7.71","0.346","7.83","7.75","1.95","7.82","52.62","17.62"
2025-12-01,"19:30","20.026","40.186","25.72","98.8","7.71","0.355","7.84","7.53","1.75","7.04","50.88","17.04"
2025-12-01,"19:45","20.036","40.582","26","98.8","7.7","0.36","7.85","7.54","1.76","7.06","49.99","16.74"
2025-12-01,"20:00","20.051","41.034","26.32","98.6","7.67","0.361","7.86","7.4","1.7","6.84","49.56","16.6"
2025-12-01,"20:15","20.053","41.268","26.49","98.3","7.64","0.359","7.86","7.03","1.68","6.75","47.36","15.87"
2025-12-01,"20:30","20.062","41.441","26.61","96.6","7.5","0.352","7.86","5.99","1.7","6.84","45.11","15.11"
2025-12-01,"20:45","20.065","41.516","26.67","95.9","7.44","0.334","7.84","6.56","1.44","5.78","46.85","15.7"
2025-12-01,"21:00","20.051","41.184","26.43","97.8","7.6","0.316","7.85","7.27","1.62","6.5","48.27","16.17"
2025-12-01,"21:15","20.033","40.737","26.11","97.9","7.62","0.295","7.84","7.77","1.66","6.66","49.56","16.6"
2025-12-01,"21:30","19.981","39.501","25.24","97.1","7.61","0.278","7.82","8.43","1.73","6.96","52.93","17.73"
2025-12-01,"21:45","19.929","38.687","24.66","96.5","7.6","0.256","7.8","10.91","1.79","7.19","54.51","18.26"
2025-12-01,"22:00","19.868","37.636","23.92","95.8","7.58","0.229","7.78","10.37","1.74","7.01","57.44","19.24"
2025-12-01,"22:15","19.793","36.404","23.06","94.7","7.54","0.21","7.75","8.06","1.81","7.27","60.46","20.24"
2025-12-01,"22:30","19.715","35.121","22.16","93.3","7.49","0.183","7.72","7.5","1.87","7.53","63.84","21.37"
2025-12-01,"22:45","19.663","33.974","21.37","92.4","7.45","0.158","7.7","6.77","1.97","7.91","66.47","22.25"
2025-12-01,"23:00","19.646","33.466","21.02","91.9","7.43","0.133","7.68","6.52","1.95","7.85","67.39","22.56"
2025-12-01,"23:15","19.615","32.65","20.45","91.3","7.41","0.108","7.67","6.93","1.91","7.66","69.17","23.16"
2025-12-01,"23:30","19.587","31.954","19.97","90.8","7.39","0.082","7.65","6.26","1.97","7.91","70.68","23.66"
2025-12-01,"23:45","19.573","31.22","19.47","90.6","7.4","0.059","7.64","6.26","1.95","7.85","72.03","24.11"
2025-12-02,"00:00","19.573","31.135","19.41","90","7.35","0.033","7.63","6.02","2.03","8.16","72.31","24.21"
2025-12-02,"00:15","19.552","30.429","18.93","89.2","7.31","0.011","7.61","5.61","2.03","8.16","73.79","24.7"
2025-12-02,"00:30","19.538","29.988","18.63","88.6","7.28","-0.014","7.6","5.42","2.05","8.26","74.42","24.91"
2025-12-02,"00:45","19.523","29.388","18.22","87.6","7.22","-0.037","7.58","5.25","2","8.06","75.3","25.21"
2025-12-02,"01:00","19.525","29.202","18.09","87.9","7.25","-0.056","7.58","5.76","2.02","8.1","75.65","25.32"
2025-12-02,"01:15","19.548","29.571","18.34","87.9","7.23","-0.075","7.59","5.49","2.08","8.37","74.85","25.05"
2025-12-02,"01:30","19.537","29.247","18.12","87.4","7.2","-0.097","7.57","5.28","2.09","8.4","75.5","25.27"
