Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlorophyllRFU,ChlFluor,F_ChlFluor
11/5/2025,11:00, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,48.79,<0> (CND),31.91,<0> (CND),5.599,<0> (CND),95.6,<0> (CND),7.02,<0> (CND),21.67,7.78,7.96,<0> (CND),-84.8,6.16,21.358,<0> (CND),9.34,<0> (CND),1.193,1.22,4.78,<0> (CND)
11/5/2025,11:15, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,48.26,0,31.52,0,5.479,0,95.2,0,7,0,24.85,8.87,7.94,0,-83.8,6.15,21.457,0,9.33,0,1.193,1.27,4.95,0
11/5/2025,11:30, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,48.039,0,31.36,0,5.373,0,94.2,0,6.94,0,26.42,9.4,7.93,0,-83.4,6.15,21.375,0,10.51,0,1.201,1.29,5.06,0
11/5/2025,11:45, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,47.663,0,31.08,0,5.27,0,94.2,0,6.94,0,28.71,10.18,7.92,0,-82.5,6.16,21.514,0,11.48,0,1.21,1.35,5.29,0
11/5/2025,12:00, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,46.287,0,30.09,0,5.177,0,90.2,0,6.71,0,38.08,13.37,7.86,0,-78.7,6.15,21.307,0,12.32,0,1.202,1.49,5.84,0
11/5/2025,12:15, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,46.43,0,30.19,0,5.083,0,91.5,0,6.78,0,37.23,13.08,7.87,0,-79.4,6.16,21.443,0,11.7,0,1.197,1.46,5.71,0
11/5/2025,12:30, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,45.874,0,29.79,0,4.996,0,90.7,0,6.73,0,40.84,14.31,7.85,0,-78,6.15,21.505,0,13.02,0,1.201,1.51,5.94,0
11/5/2025,12:45, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,45.516,0,29.53,0,4.918,0,89.7,0,6.67,0,43.54,15.23,7.83,0,-77,6.15,21.451,0,11.5,0,1.203,1.5,5.88,0
11/5/2025,13:00, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,44.93,0,29.1,0,4.854,0,88.6,0,6.6,0,47.33,16.52,7.8,0,-75.4,6.16,21.474,0,13.16,0,1.208,1.57,6.17,0
11/5/2025,13:15, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,44.737,0,28.96,0,4.79,0,88.9,0,6.62,0,48.49,16.92,7.79,0,-74.9,6.15,21.582,0,12.9,0,1.202,1.57,6.17,0
11/5/2025,13:30, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,44.547,0,28.82,0,4.724,0,89,0,6.62,0,49.64,17.31,7.79,0,-74.5,6.15,21.669,0,11.59,0,1.199,1.68,6.61,0
11/5/2025,13:45, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,44.341,0,28.68,0,4.668,0,88.6,0,6.6,0,50.99,17.77,7.78,0,-74,6.15,21.685,0,13.66,0,1.202,1.73,6.81,0
11/5/2025,14:00, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,44.22,0,28.59,0,4.612,0,88.9,0,6.61,0,51.79,18.04,7.77,0,-73.8,6.15,21.711,0,12.83,0,1.205,1.72,6.78,0
11/5/2025,14:15, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,44.047,0,28.46,0,4.574,0,88.6,0,6.6,0,52.74,18.36,7.77,0,-73.3,6.15,21.767,0,10.52,0,1.211,1.68,6.59,0
11/5/2025,14:30, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,44.157,0,28.54,0,4.564,0,88.9,0,6.61,0,52.15,18.16,7.77,0,-73.6,6.14,21.758,0,11.2,0,1.207,1.8,7.08,0
11/5/2025,14:45, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,45.481,0,29.5,0,4.56,0,89.1,0,6.61,0,44.27,15.48,7.81,0,-76,6.15,21.605,0,8.5,0,1.193,1.63,6.39,0
11/5/2025,15:00, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,45.6,0,29.59,0,4.564,0,88.4,0,6.57,0,43.99,15.39,7.81,0,-76.1,6.14,21.481,0,8.69,0,1.195,1.54,6.06,0
11/5/2025,15:15, ,gtmsswq_16J102351_110525_050000.bin,San Sebastian,default user,0,45.582,0,29.57,0,4.592,0,86.2,0,6.41,0,43.14,15.1,7.81,0,-75.8,6.15,21.509,0,13.53,0,1.207,1.6,6.28,0
