DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
8/6/2025,9:00, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.97,<0> (CND),34.08,<0> (CND),5.175,<0> (CND),64.3,<0> (CND),4.1,<0> (CND),13.75,4.83,7.56,<0> (CND),-62.8,6.09,28.897,<0> (CND),6.9,<0> (CND),1.194,0.81,3.34,<0> (CND)
8/6/2025,9:15, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.892,0,34.02,0,5.125,0,61.2,0,3.9,0,14.42,5.05,7.53,0,-61,6.09,28.994,0,8.16,0,1.194,0.85,3.48,0
8/6/2025,9:30, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.875,0,34,0,5.07,0,62.8,0,3.99,0,14.67,5.14,7.54,0,-61.4,6.09,29.155,0,7.61,0,1.199,0.88,3.59,0
8/6/2025,9:45, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.801,0,33.94,0,5.007,0,61.5,0,3.9,0,14.96,5.23,7.52,0,-60.2,6.09,29.35,0,7.66,0,1.21,0.85,3.51,0
8/6/2025,10:00, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.747,0,33.89,0,4.949,0,62.5,0,3.95,0,15.38,5.38,7.52,0,-60.1,6.08,29.57,0,10.33,0,1.204,0.94,3.86,0
8/6/2025,10:15, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.563,0,33.75,0,4.892,0,64.2,0,4.05,0,16.04,5.6,7.52,0,-60.5,6.08,29.711,0,9.35,0,1.208,0.93,3.81,0
8/6/2025,10:30, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.546,0,33.73,0,4.837,0,63.4,0,3.98,0,16.47,5.74,7.51,0,-59.5,6.09,29.942,0,10.94,0,1.198,1.01,4.16,0
8/6/2025,10:45, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.376,0,33.6,0,4.797,0,61.9,0,3.89,0,17.82,6.2,7.49,0,-58.7,6.08,30.039,0,10.01,0,1.198,1.11,4.55,0
8/6/2025,11:00, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.361,0,33.59,0,4.754,0,63,0,3.95,0,17.6,6.12,7.5,0,-59,6.08,30.173,0,10.56,0,1.207,1.17,4.77,0
8/6/2025,11:15, ,gtmsswq_16J102351_080625_050000.bin,San Sebastian,default user,0,51.179,0,33.45,0,4.71,0,62.8,0,3.93,0,18.59,6.45,7.49,0,-58.4,6.08,30.252,0,12.76,0,1.208,1.2,4.89,0
