"station_code","ProgramType","adjustedtimestamp","UncCHLa_N","PHEA","TSS","color","ENTERO_MPN","FECCOL_CFU"
"gtmpcnut2.1","Diel",2026-01-06 09:30:00,2026-01-20,2026-01-20,2026-01-09,NA,NA,NA
"gtmpcnut2.10","Diel",2026-01-07 08:00:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmpcnut2.11","Diel",2026-01-07 10:30:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmpcnut2.2","Diel",2026-01-06 12:00:00,2026-01-20,2026-01-20,2026-01-09,NA,NA,NA
"gtmpcnut2.3","Diel",2026-01-06 14:30:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmpcnut2.4","Diel",2026-01-06 17:00:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmpcnut2.5","Diel",2026-01-06 19:30:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmpcnut2.6","Diel",2026-01-06 22:00:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmpcnut2.8","Diel",2026-01-07 03:00:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmpcnut2.9","Diel",2026-01-07 05:30:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmpcnut2.7","Diel",2026-01-07 00:30:00,2026-01-20,2026-01-20,2026-01-09,NA,2026-01-09,NA
"gtmfmnut1.1","Grab",2026-01-21 11:20:00,2026-02-03,2026-02-03,2026-01-26,2026-01-22,2026-01-23,2026-01-23
"gtmfmnut1.2","Grab",2026-01-21 11:24:00,2026-02-03,2026-02-03,2026-01-26,2026-01-22,2026-01-23,2026-01-23
"gtmpcnut1.1","Grab",2026-01-21 14:06:00,2026-02-03,2026-02-03,2026-01-26,2026-01-22,2026-01-23,2026-01-23
"gtmpcnut1.2","Grab",2026-01-21 14:09:00,2026-02-03,2026-02-03,2026-01-26,2026-01-22,2026-01-23,2026-01-23
"gtmpinut1.1","Grab",2026-01-21 14:05:00,2026-02-03,2026-02-03,2026-01-26,2026-01-22,2026-01-23,2026-01-23
"gtmpinut1.2","Grab",2026-01-21 14:07:00,2026-02-03,2026-02-03,2026-01-26,2026-01-22,2026-01-23,2026-01-23
"gtmssnut1.1","Grab",2026-01-21 12:32:00,2026-02-03,2026-02-03,2026-01-26,2026-01-22,2026-01-23,2026-01-23
"gtmssnut1.2","Grab",2026-01-21 12:34:00,2026-02-03,2026-02-03,2026-01-26,2026-01-22,2026-01-23,2026-01-23
