"station_code","ProgramType","adjustedtimestamp","PO4F","NO23F","NH4F","CHLA_N"
"gtmpcnut2.1","Diel",2026-01-06 09:30:00,2026-01-08,2026-01-14,2026-01-14,2026-01-20
"gtmpcnut2.10","Diel",2026-01-07 08:00:00,2026-01-08,2026-01-14,2026-01-13,2026-01-20
"gtmpcnut2.11","Diel",2026-01-07 10:30:00,2026-01-08,2026-01-14,2026-01-13,2026-01-20
"gtmpcnut2.2","Diel",2026-01-06 12:00:00,2026-01-08,2026-01-14,2026-01-14,2026-01-20
"gtmpcnut2.3","Diel",2026-01-06 14:30:00,2026-01-08,2026-01-14,2026-01-14,2026-01-20
"gtmpcnut2.4","Diel",2026-01-06 17:00:00,2026-01-08,2026-01-09,2026-01-13,2026-01-20
"gtmpcnut2.5","Diel",2026-01-06 19:30:00,2026-01-08,2026-01-09,2026-01-13,2026-01-20
"gtmpcnut2.6","Diel",2026-01-06 22:00:00,2026-01-08,2026-01-09,2026-01-13,2026-01-20
"gtmpcnut2.8","Diel",2026-01-07 03:00:00,2026-01-08,2026-01-09,2026-01-13,2026-01-20
"gtmpcnut2.9","Diel",2026-01-07 05:30:00,2026-01-08,2026-01-14,2026-01-13,2026-01-20
"gtmpcnut2.7","Diel",2026-01-07 00:30:00,2026-01-08,2026-01-09,2026-01-13,2026-01-20
"gtmfmnut1.1","Grab",2026-01-21 11:20:00,2026-01-28,2026-02-03,2026-01-28,2026-02-03
"gtmfmnut1.2","Grab",2026-01-21 11:24:00,2026-01-28,2026-02-03,2026-02-03,2026-02-03
"gtmpcnut1.1","Grab",2026-01-21 14:06:00,2026-01-22,2026-02-03,2026-01-28,2026-02-03
"gtmpcnut1.2","Grab",2026-01-21 14:09:00,2026-01-22,2026-02-03,2026-02-03,2026-02-03
"gtmpinut1.1","Grab",2026-01-21 14:05:00,2026-01-22,2026-02-03,2026-01-28,2026-02-03
"gtmpinut1.2","Grab",2026-01-21 14:07:00,2026-01-22,2026-02-03,2026-02-03,2026-02-03
"gtmssnut1.1","Grab",2026-01-21 12:32:00,2026-01-28,2026-02-03,2026-01-28,2026-02-03
"gtmssnut1.2","Grab",2026-01-21 12:34:00,2026-01-28,2026-02-03,2026-02-03,2026-02-03
